attributeTypeId,attributeValue,attributeTypeName,count,ratio
11,"Black Smartphone",Accessories,20836,0.219629172
3,"Light Brown","Hair Color",20849,0.219766203
3,Black,"Hair Color",28461,0.300003162
11,,Accessories,31388,0.330856233
9,,Glasses,61673,0.650085907
4,,"Facial Hair",71217,0.75068779
8,,Ring,80604,0.849634759
10,,Piercings,85383,0.900009486
12,,Headwear,85387,0.90005165
1,White,Background,94869,1
